date,Vgas_forecast_m3,Vgas_forecast_with_5pct_buffer_m3
2025-01-01,21419.518968738976,22490.494917175925
2025-01-02,20479.050996785307,21503.00354662457
2025-01-03,20845.041811494604,21887.293902069334
2025-01-04,21537.682553584335,22614.566681263554
2025-01-05,21358.919689662624,22426.865674145756
2025-01-06,21705.84388257389,22791.136076702584
2025-01-07,21713.12875832719,22798.785196243552
2025-01-08,20913.549796504365,21959.227286329584
2025-01-09,20861.91828895025,21905.014203397765
2025-01-10,21051.545354563914,22104.12262229211
2025-01-11,20850.56301820792,21893.091169118314
2025-01-12,20894.483310319745,21939.207475835734
2025-01-13,21638.46225956201,22720.38537254011
2025-01-14,22213.899458056705,23324.59443095954
2025-01-15,21846.98804846727,22939.337450890634
2025-01-16,21496.855961741287,22571.698759828352
2025-01-17,21350.47364115595,22417.99732321375
2025-01-18,21236.12804636587,22297.934448684166
2025-01-19,21234.38473022391,22296.103966735103
2025-01-20,21518.298349037774,22594.213266489664
2025-01-21,22306.89846865004,23422.243392082542
2025-01-22,22553.027479852422,23680.678853845046
2025-01-23,22156.462521759,23264.28564784695
2025-01-24,21955.31492436406,23053.08067058226
2025-01-25,21751.882737255244,22839.47687411801
2025-01-26,21137.595774889767,22194.475563634256
2025-01-27,20954.371933508293,22002.09053018371
2025-01-28,21080.962368686283,22135.0104871206
2025-01-29,20909.17729809192,21954.636162996518
2025-01-30,20715.912281215118,21751.707895275875
2025-01-31,20817.838991446264,21858.730941018577
2025-02-01,20274.51252884911,21288.23815529157
2025-02-02,20266.74164233268,21280.078724449315
2025-02-03,20761.993034034036,21800.092685735737
2025-02-04,21235.109681044705,22296.86516509694
2025-02-05,21127.691478114953,22184.0760520207
2025-02-06,21081.778183218827,22135.86709237977
2025-02-07,21413.362633040582,22484.030764692612
2025-02-08,21688.992399033286,22773.44201898495
2025-02-09,21525.584208459743,22601.86341888273
2025-02-10,21871.63686192439,22965.218705020612
2025-02-11,22348.383245455763,23465.80240772855
2025-02-12,22372.582612873513,23491.21174351719
2025-02-13,22462.07144056181,23585.1750125899
2025-02-14,22614.298066685285,23745.01297001955
2025-02-15,22859.114274690728,24002.069988425264
2025-02-16,22991.524939979747,24141.101186978736
2025-02-17,23557.93395620485,24735.830654015095
2025-02-18,23815.23560250257,25005.9973826277
2025-02-19,23216.195734111796,24377.005520817387
2025-02-20,23102.31516804001,24257.43092644201
2025-02-21,23208.908477964822,24369.353901863065
2025-02-22,23125.00248586868,24281.252610162115
2025-02-23,23070.74895836936,24224.28640628783
2025-02-24,23484.09852873846,24658.303455175384
2025-02-25,23688.294141674145,24872.708848757855
2025-02-26,23141.653617499203,24298.736298374166
2025-02-27,22789.651383762204,23929.133952950317
2025-02-28,22536.474138657977,23663.297845590878
2025-03-01,21045.315695686142,22097.58148047045
2025-03-02,20507.99002377536,21533.38952496413
2025-03-03,20603.15647781555,21633.31430170633
2025-03-04,20595.80835369157,21625.59877137615
2025-03-05,20191.294022807444,21200.85872394782
2025-03-06,19729.71681598075,20716.20265677979
2025-03-07,19319.153223778645,20285.110884967577
2025-03-08,19375.64210601506,20344.424211315814
2025-03-09,19104.29441185158,20059.50913244416
2025-03-10,19209.436100534833,20169.907905561577
2025-03-11,19307.505527667963,20272.88080405136
2025-03-12,18802.012633511087,19742.113265186643
2025-03-13,18666.208555967547,19599.518983765924
2025-03-14,18625.643097595526,19556.925252475303
2025-03-15,19308.632882114765,20274.064526220503
2025-03-16,19807.494238090512,20797.868949995038
2025-03-17,20191.123197131506,21200.679356988083
2025-03-18,20685.26850638216,21719.53193170127
2025-03-19,20329.90012054845,21346.395126575873
2025-03-20,19848.46942969175,20840.89290117634
2025-03-21,19588.298007964124,20567.71290836233
2025-03-22,19886.067827851995,20880.371219244596
2025-03-23,20025.569435686142,21026.847907470452
2025-03-24,19964.850463382485,20963.092986551612
2025-03-25,20102.069514011346,21107.172989711915
2025-03-26,20127.11096202599,21133.466510127288
2025-03-27,20036.305321222047,21038.120587283152
2025-03-28,19944.130756180566,20941.337293989596
2025-03-29,19847.24723929775,20839.60960126264
2025-03-30,19550.971344604903,20528.51991183515
2025-03-31,19585.624727988972,20564.90596438842
2025-04-01,17087.89912876125,17942.294085199315
2025-04-02,17065.55678913721,17918.834628594068
2025-04-03,17067.121488616285,17920.4775630471
2025-04-04,17134.245729139195,17990.958015596156
2025-04-05,17589.788814028852,18469.278254730296
2025-04-06,18277.577893141704,19191.45678779879
2025-04-07,18866.32103243267,19809.637084054302
2025-04-08,19045.23227164623,19997.49388522854
2025-04-09,18904.474480709978,19849.698204745477
2025-04-10,18811.66984842963,19752.25334085111
2025-04-11,18647.885123844535,19580.27938003676
2025-04-12,18422.65613968571,19343.788946669996
2025-04-13,17711.891790872058,18597.486380415663
2025-04-14,17165.57130698154,18023.84987233062
2025-04-15,16563.148812841606,17391.306253483686
2025-04-16,15674.058835232487,16457.761776994113
2025-04-17,15365.485697988155,16133.759982887563
2025-04-18,15023.871210653298,15775.064771185964
2025-04-19,14477.349734772162,15201.217221510771
2025-04-20,13935.910401702698,14632.705921787834
2025-04-21,13937.409838108044,14634.280330013447
2025-04-22,14138.873983211095,14845.817682371651
2025-04-23,13868.713648657184,14562.149331090044
2025-04-24,13954.600609453806,14652.330639926497
2025-04-25,14490.227166435574,15214.738524757353
2025-04-26,15374.124911690347,16142.831157274866
2025-04-27,15866.624151833757,16659.955359425447
2025-04-28,15805.523345809117,16595.799513099573
2025-04-29,15533.28727770084,16309.951641585882
2025-04-30,15106.741808634466,15862.07889906619
2025-05-01,14799.227954536378,15539.189352263198
2025-05-02,15177.246940130783,15936.109287137322
2025-05-03,14909.513905280875,15654.989600544919
2025-05-04,13837.431049435965,14529.302601907764
2025-05-05,13862.168873258588,14555.277316921518
2025-05-06,14601.5541795996,15331.63188857958
2025-05-07,14478.310937935763,15202.226484832552
2025-05-08,14428.10235236554,15149.507469983819
2025-05-09,14778.086512813603,15516.990838454283
2025-05-10,14835.2138790616,15576.974573014682
2025-05-11,14597.827926416123,15327.71932273693
2025-05-12,14813.637058987375,15554.318911936745
2025-05-13,14933.793173369217,15680.482832037678
2025-05-14,14374.77340942234,15093.512079893457
2025-05-15,13762.72447730909,14450.860701174544
2025-05-16,13156.436861770726,13814.258704859263
2025-05-17,12727.526138035431,13363.902444937203
2025-05-18,12396.606073417137,13016.436377087994
2025-05-19,12747.826772259748,13385.218110872736
2025-05-20,13241.72940166442,13903.81587174764
2025-05-21,12913.955388509483,13559.653157934958
2025-05-22,12375.722314721623,12994.508430457705
2025-05-23,11825.123141689737,12416.379298774225
2025-05-24,11274.805126395562,11838.545382715341
2025-05-25,10699.450973431478,11234.423522103052
2025-05-26,10736.589178844351,11273.41863778657
2025-05-27,10991.03246595796,11540.584089255859
2025-05-28,10836.40149264143,11378.221567273502
2025-05-29,10580.668142393635,11109.701549513318
2025-05-30,10591.784916584722,11121.374162413958
2025-05-31,10867.23636206975,11410.598180173238
2025-06-01,10801.774525792156,11341.863252081765
2025-06-02,11196.955950797466,11756.803748337341
2025-06-03,11300.908969367803,11865.954417836194
2025-06-04,11086.29940513652,11640.614375393347
2025-06-05,10950.084263326713,11497.588476493049
2025-06-06,10742.817044139685,11279.95789634667
2025-06-07,10582.684739442402,11111.818976414523
2025-06-08,10329.518845779756,10845.994788068743
2025-06-09,10632.333004859487,11163.949655102462
2025-06-10,11397.23550762672,11967.097283008055
2025-06-11,11736.51678229801,12323.34262141291
2025-06-12,11672.535513294839,12256.162288959582
2025-06-13,11834.598907113763,12426.32885246945
2025-06-14,12200.001673926687,12810.001757623022
2025-06-15,12092.54046391273,12697.167487108367
2025-06-16,11971.251815246755,12569.814406009093
2025-06-17,12055.411968589302,12658.182567018768
2025-06-18,12134.296369657612,12741.011188140492
2025-06-19,12395.982283582951,13015.781397762099
2025-06-20,12743.999727899254,13381.199714294218
2025-06-21,12936.345566831726,13583.162845173312
2025-06-22,12749.693061987888,13387.177715087282
2025-06-23,12782.772061724765,13421.910664811005
2025-06-24,12808.029454119089,13448.430926825044
2025-06-25,12609.197478942708,13239.657352889844
2025-06-26,12621.192278284925,13252.251892199172
2025-06-27,12803.077524830038,13443.23140107154
2025-06-28,12702.50700735315,13337.632357720808
2025-06-29,12250.32602378747,12862.842324976844
2025-06-30,12808.815815524533,13449.25660630076
2025-07-01,13385.424097101113,14054.69530195617
2025-07-02,12878.40023522346,13522.320246984635
2025-07-03,12115.373150086969,12721.141807591317
2025-07-04,11741.300284572058,12328.365298800662
2025-07-05,12087.210315317952,12691.57083108385
2025-07-06,12106.828646301328,12712.170078616395
2025-07-07,11740.623376919488,12327.654545765463
2025-07-08,11263.285099088367,11826.449354042787
2025-07-09,10726.956636340463,11263.304468157487
2025-07-10,10367.80329911975,10886.193464075739
2025-07-11,10114.36695579935,10620.085303589318
2025-07-12,10053.115167185266,10555.77092554453
2025-07-13,10083.895535543154,10588.090312320312
2025-07-14,10710.009706401823,11245.510191721914
2025-07-15,11309.89273248785,11875.387369112243
2025-07-16,11379.067189432277,11948.02054890389
2025-07-17,11398.621447311765,11968.552519677354
2025-07-18,11424.67702779081,11995.910879180352
2025-07-19,11428.408285387555,11999.828699656933
2025-07-20,11150.118136001918,11707.624042802014
2025-07-21,11617.593567341071,12198.473245708125
2025-07-22,12108.422123249362,12713.84322941183
2025-07-23,11773.770922841042,12362.459468983096
2025-07-24,11570.252213013984,12148.764823664684
2025-07-25,11501.145196272893,12076.20245608654
2025-07-26,11592.85304812892,12172.495700535366
2025-07-27,11302.02209806271,11867.123202965846
2025-07-28,11136.688001320705,11693.522401386741
2025-07-29,11202.192810196177,11762.302450705985
2025-07-30,11013.919814666848,11564.61580540019
2025-07-31,10982.036005554577,11531.137805832306
2025-08-01,11416.9941390973,11987.843846052165
2025-08-02,11872.321064544252,12465.937117771466
2025-08-03,11641.125242497263,12223.181504622125
2025-08-04,11962.177401002387,12560.286271052508
2025-08-05,12315.628935207602,12931.410381967982
2025-08-06,12005.33684626961,12605.603688583093
2025-08-07,12213.898999845891,12824.593949838187
2025-08-08,12625.390007071932,13256.65950742553
2025-08-09,12816.092631882926,13456.897263477073
2025-08-10,12509.655118694947,13135.137874629696
2025-08-11,12633.519159932359,13265.195117928977
2025-08-12,13006.803885053825,13657.144079306518
2025-08-13,12807.008635867805,13447.359067661197
2025-08-14,12852.305174629055,13494.920433360508
2025-08-15,12761.06526900972,13399.118532460207
2025-08-16,12492.570239033166,13117.198750984826
2025-08-17,12349.394697289803,12966.864432154294
2025-08-18,12910.87575770801,13556.419545593411
2025-08-19,13196.962637311239,13856.810769176802
2025-08-20,12764.755493797002,13402.993268486853
2025-08-21,12925.480661406244,13571.754694476556
2025-08-22,13276.393911837731,13940.213607429618
2025-08-23,13260.157353924642,13923.165221620875
2025-08-24,12896.63885786305,13541.470800756204
2025-08-25,13215.38320380704,13876.152363997393
2025-08-26,13661.878956745924,14344.972904583221
2025-08-27,13447.373776126631,14119.742464932964
2025-08-28,13187.341971839789,13846.70907043178
2025-08-29,12854.787370974576,13497.526739523306
2025-08-30,12132.909577373313,12739.55505624198
2025-08-31,11359.53551879392,11927.512294733617
2025-09-01,11841.29530484366,12433.360070085842
2025-09-02,12675.901864454383,13309.696957677103
2025-09-03,12746.172455952837,13383.48107875048
2025-09-04,12635.245663484027,13267.00794665823
2025-09-05,12567.260056692883,13195.623059527528
2025-09-06,12432.868939829783,13054.512386821272
2025-09-07,12017.67618275436,12618.559991892078
2025-09-08,12091.913317927058,12696.50898382341
2025-09-09,12330.707261714593,12947.242624800323
2025-09-10,12324.719999952365,12940.955999949985
2025-09-11,12389.519939932938,13008.995936929585
2025-09-12,12497.2124172834,13122.07303814757
2025-09-13,12753.718178702726,13391.404087637862
2025-09-14,12551.135435862736,13178.692207655873
2025-09-15,12548.306663742362,13175.72199692948
2025-09-16,12584.328945974687,13213.545393273422
2025-09-17,12391.60949890501,13011.189973850262
2025-09-18,12585.303495460721,13214.568670233757
2025-09-19,12948.867861618402,13596.311254699323
2025-09-20,13073.915928861908,13727.611725305005
2025-09-21,12451.577739743096,13074.156626730251
2025-09-22,12121.637691583059,12727.719576162212
2025-09-23,12805.683097513454,13445.967252389128
2025-09-24,13789.37983024954,14478.848821762018
2025-09-25,14361.820742242538,15079.911779354667
2025-09-26,14525.156769914092,15251.414608409797
2025-09-27,14669.808391546772,15403.298811124112
2025-09-28,14726.43824220593,15462.760154316227
2025-09-29,15265.516156424466,16028.79196424569
2025-09-30,15877.358698017717,16671.226632918602
2025-10-01,16634.821488641162,17466.56256307322
2025-10-02,16633.094129161167,17464.748835619226
2025-10-03,16870.27344803204,17713.78712043364
2025-10-04,17077.50928978643,17931.384754275754
2025-10-05,16983.737590275923,17832.92446978972
2025-10-06,17340.721676307974,18207.757760123375
2025-10-07,17787.607226129057,18676.98758743551
2025-10-08,17767.857432202334,18656.250303812452
2025-10-09,17858.0112568262,18750.91181966751
2025-10-10,18073.614455429928,18977.295178201424
2025-10-11,18243.38956028384,19155.55903829803
2025-10-12,18103.773231003062,19008.961892553216
2025-10-13,18407.351870620023,19327.719464151025
2025-10-14,18794.21701542588,19733.927866197173
2025-10-15,18708.88316640847,19644.327324728893
2025-10-16,18729.026822641452,19665.478163773525
2025-10-17,18871.396792922347,19814.966632568467
2025-10-18,18965.96240245365,19914.260522576333
2025-10-19,18750.428437768674,19687.94985965711
2025-10-20,18978.64816853507,19927.580576961824
2025-10-21,19291.956387809387,20256.554207199857
2025-10-22,19136.065556568443,20092.868834396864
2025-10-23,19089.784207229914,20044.27341759141
2025-10-24,19170.908045897268,20129.453448192133
2025-10-25,19210.350696299247,20170.86823111421
2025-10-26,18946.64321238744,19893.97537300681
2025-10-27,19134.333935574785,20091.050632353526
2025-10-28,19415.310826385325,20386.07636770459
2025-10-29,19235.68949382284,20197.473968513983
2025-10-30,19174.526163555787,20133.252471733576
2025-10-31,19249.706060694876,20212.19136372962
2025-11-01,21775.511180664118,22864.286739697323
2025-11-02,22105.831932469704,23211.12352909319
2025-11-03,22313.36372857223,23429.03191500084
2025-11-04,22621.934767136416,23753.031505493236
2025-11-05,22477.010212181704,23600.86072279079
2025-11-06,22456.874668580782,23579.71840200982
2025-11-07,22578.534195924447,23707.46090572067
2025-11-08,22671.862218897815,23805.455329842705
2025-11-09,22474.118140640137,23597.824047672144
2025-11-10,22738.369862021562,23875.28835512264
2025-11-11,23104.841919293012,24260.084015257664
2025-11-12,23017.832010375692,24168.723610894478
2025-11-13,23054.454670431867,24207.17740395346
2025-11-14,23230.56207282647,24392.090176467795
2025-11-15,23374.908374644587,24543.653793376816
2025-11-16,23223.68615968846,24384.870467672885
2025-11-17,23528.965940674178,24705.414237707886
2025-11-18,23930.06020600756,25126.56321630794
2025-11-19,23870.454569848996,25063.977298341448
2025-11-20,23926.564591354316,25122.892820922032
2025-11-21,24113.668062393415,25319.351465513086
2025-11-22,24260.07902509107,25473.082976345624
2025-11-23,24101.691934357066,25306.77653107492
2025-11-24,24390.42681050457,25609.9481510298
2025-11-25,24765.596773056513,26003.87661170934
2025-11-26,24670.840443674402,25904.382465858125
2025-11-27,24682.877738275434,25917.02162518921
2025-11-28,24817.438828020895,26058.31076942194
2025-11-29,24903.432538660094,26148.6041655931
2025-11-30,24677.482640578593,25911.356772607523
2025-12-01,26691.208118993138,28025.768524942796
2025-12-02,27368.29659510686,28736.711424862206
2025-12-03,27190.098721960247,28549.60365805826
2025-12-04,27115.579821218656,28471.35881227959
2025-12-05,27161.681566203522,28519.7656445137
2025-12-06,27158.57026618837,28516.49877949779
2025-12-07,26844.15319439578,28186.360854115574
2025-12-08,26972.49290261773,28321.117547748618
2025-12-09,27185.141327865113,28544.39839425837
2025-12-10,26928.036648349014,28274.438480766465
2025-12-11,26780.22192912108,28119.233025577134
2025-12-12,26759.735903118348,28097.722698274265
2025-12-13,26697.74276223722,28032.629900349082
2025-12-14,26333.030047155,27649.681549512752
2025-12-15,26420.40620685977,27741.42651720276
2025-12-16,26602.019987703447,27932.12098708862
2025-12-17,26324.244940838886,27640.45718788083
2025-12-18,26166.38838900113,27474.70780845119
2025-12-19,26146.5754600861,27453.904233090405
2025-12-20,26095.87527727585,27400.66904113964
2025-12-21,25752.798555868132,27040.43848366154
2025-12-22,25871.69827923968,27165.283193201667
2025-12-23,26094.09564998043,27398.800432479453
2025-12-24,25865.574571953162,27158.85330055082
2025-12-25,25764.50389917677,27052.729094135608
2025-12-26,25807.937880900776,27098.334774945815
2025-12-27,25825.76164209292,27117.049724197565
2025-12-28,25555.21062893596,26832.97116038276
2025-12-29,25749.29530537819,27036.7600706471
2025-12-30,26048.152850543283,27350.56049307045
2025-12-31,25895.968614453865,27190.76704517656
